Nombre;Tipo de evento;Fecha inicio evento;Lenguajes del evento;Nombre lugar;Municipio;Pais
Bertso-saioa: Txaber Altube + Aitor Bizkarra + Garikoitz Sarriugarte;Bertsolarismo;03/02/2018;Euskera;Ferialekua;Abadinyo;Espanya
Bertso-saioa: Txaber Altube + Miren Artetxe + Aitor Bizkarra + Aitor Mendiluze;Bertsolarismo;04/05/2018;Euskera;Matienako Kultur Etxea;Abadinyo;Espanya
Bizkaiko Bertsolari Txapelketa. Udaberriko Kanporaketa (Abadinyo);Bertsolarismo;26/05/2018;Euskera;Errota Kultur Etxea;Abadinyo;Espanya
Brumas vespertinas;Teatro;04/11/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Canta Cantorum;Concierto;04/03/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Carnavales de Alegria-Dulantzi 2018;otros;10/02/2018;Espanyol;;Alegria-Dulantzi;Espanya
Chavela;Proyeccion audiovisual;09/03/2018;Espanyol;Casa de Cultura Micaela Portilla de Alegria-Dulantzi;Alegria-Dulantzi;Espanya
Club de lectura: Conferencia de Uxue Alberdi;Conferencia;05/06/2018;Espanyol;Errota Kultur Etxea;Abadinyo;Espanya
Como ninyos;Teatro;10/11/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Concierto Fin de Curso de la Escuela de Musica de Alegria-Dulantzi;Concierto;09/06/2018;Euskera / Espanyol;Auditorio Txema Blasco - (Herriko plaza);Alegria-Dulantzi;Espanya
Concierto Rock-Surf + Grafic Recording;Concierto;20/10/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Conservatorio de Danza Jose Urunyuela;Danza;25/05/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Creando nubes;Teatro;20/10/2018;Espanyol;Errota Kultur Etxea;Abadinyo;Espanya
Cuentos perversos;otros;26/04/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Desde el sur: Senegal. Una mirada de Manu Brabo;Exposicion;01/10/2018;Espanyol;Casa de Cultura Micaela Portilla de Alegria-Dulantzi;Alegria-Dulantzi;Espanya
Dinero;Teatro;03/11/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Donde nacen las mariposas;Teatro;17/11/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
El burgues gentil hombre;Teatro;17/11/2018;Espanyol;Errota Kultur Etxea;Abadinyo;Espanya
Encuentro con la escritora Pilar Lloves Masid;Conferencia;08/03/2018;Espanyol;Casa de Cultura Micaela Portilla de Alegria-Dulantzi;Alegria-Dulantzi;Espanya
Ensayos para siete;Teatro;14/04/2018;Espanyol;Errota Kultur Etxea;Abadinyo;Espanya
Entre cuatro tiempos;Danza;15/09/2018;Espanyol;Herriko enparantza-fronton;Alegria-Dulantzi;Espanya
Errementari;Proyeccion audiovisual;02/12/2018;Euskera;Casa de Cultura Micaela Portilla de Alegria-Dulantzi;Alegria-Dulantzi;Espanya
Escenicas;Teatro;09/11/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Festival de Teatro Amateur de Alegria-Dulantzi 2018;Festivales (Gazteinformazioa);02/11/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Festival de Teatro Amateur de Dulantzi - Fiesta de clausura: El Mono Habitado + Grupo de Folk de la Escuela de Musica;otros;24/11/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Fiestas de Alegria-Dulantzi 2018;otros;07/09/2018;Espanyol;;Alegria-Dulantzi;Espanya
Fiestas de San Prudencio 2018 en Abadinyo;otros;28/04/2018;Espanyol;;Abadinyo;Espanya
Floresta;Teatro;02/11/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
FusionArte 2018: Delikatessen;Concierto;27/10/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Fusionarte 2018: Esto es... musica surf (musica dibujada en directo);otros;20/10/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Fusionarte 2018: Inaugurazioa;Actividad infantil;21/10/2018;Euskera;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
FusionArte 2018: La Furia;Concierto;28/10/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Gozategi;Concierto;19/05/2018;Euskera;Txanporta Plazan;Abadinyo;Espanya
Hozkailua;Teatro;10/11/2018;Euskera;Errota Kultur Etxea;Abadinyo;Espanya
I ni ce;Danza;01/12/2018;Espanyol;Errota Kultur Etxea;Abadinyo;Espanya
IRAUNGoRRIKo MARIMIRI;Teatro;22/04/2018;Euskera;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Kikeriko y Lololilo;Teatro;16/11/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Ko Etiliko + Gatillazo;Concierto;07/09/2018;Euskera;Herriko enparantza;Alegria-Dulantzi;Espanya
Korterraza Araba 2018 (Alegria-Dulantzi);Proyeccion audiovisual;12/07/2018;Espanyol;Plaza 8 de Marzo;Alegria-Dulantzi;Espanya
La inauguracion;Actividad infantil;21/10/2018;Euskera;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
La opera de los suburbios;Teatro;24/11/2018;Espanyol;Errota Kultur Etxea;Abadinyo;Espanya
La taberna fantastica;Teatro;20/01/2018;Espanyol;Errota Kultur Etxea;Abadinyo;Espanya
Moonshine Wagon + The Riff Truckers;Concierto;12/05/2018;Espanyol;Txanporta Plaza;Abadinyo;Espanya
Muerte y ritual en Alava;Exposicion;25/10/2018;Espanyol;Casa de Cultura Micaela Portilla de Alegria-Dulantzi;Alegria-Dulantzi;Espanya
Muerte y ritual en Alava;Exposicion;25/10/2018;Espanyol;Casa de Cultura Micaela Portilla de Alegria-Dulantzi;Alegria-Dulantzi;Espanya
No hay ladron que por bien no venga;Teatro;22/09/2018;Espanyol;Errota Kultur Etxea;Abadinyo;Espanya
ortzi Acosta: Patxi Errementaria;Teatro;04/02/2018;Espanyol;Casa de Cultura Micaela Portilla de Alegria-Dulantzi;Alegria-Dulantzi;Espanya
ovarios verdes fritos;Teatro;11/03/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Paddington 2;Actividad infantil;18/07/2018;Euskera;Muntsaratz-en (euria bada probalekuan).;Abadinyo;Espanya
Pelax;Concierto;20/04/2018;Espanyol;Gaztetxe;Abadinyo;Espanya
Pink Impact;Teatro;16/09/2018;Espanyol;Herriko enparantza;Alegria-Dulantzi;Espanya
Pirritx, Porrotx eta Marimotots: Borobilean;Actividad infantil;02/06/2018;Euskera;Kiroldegia;Alegria-Dulantzi;Espanya
Pixi Post eta opari-emaileak;Actividad infantil;23/12/2018;Euskera;Casa de Cultura Micaela Portilla de Alegria-Dulantzi;Alegria-Dulantzi;Espanya
Psycho-Clown;Teatro;15/09/2018;Espanyol;Casco historico;Alegria-Dulantzi;Espanya
Puro Relajo + Garilak26;Concierto;28/04/2018;Espanyol;Matiena;Abadinyo;Espanya
Sal marina;Teatro;11/11/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Sonidos de Bizkaia 2018 - Festival de organo Diego de Amezua;Festivales (Gazteinformazioa);06/10/2018;Espanyol;Balmaseda, Plentzia, Manyaria, Getxo, Abadinyo, Loiu, Markina y ondarroa;Abadinyo;Espanya
Spectacular Magic;Teatro;25/03/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
Teresa eta Galtzagorri;Actividad infantil;02/12/2018;Euskera;Casa de Cultura Micaela Portilla de Alegria-Dulantzi;Alegria-Dulantzi;Espanya
The Wilsons + Sumision City Blues + Joseba B. Lenoir + Willis Drummond;Concierto;19/05/2018;Ingles;Plazan;Abadinyo;Espanya
Travesias;Teatro;03/03/2018;Espanyol;Errota Kultur Etxea;Abadinyo;Espanya
Zaquizami;Danza;16/12/2018;Espanyol;Auditorio Txema Blasco;Alegria-Dulantzi;Espanya
13 y martes;Teatro;17/03/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Actuacion Escuela Municipal de Danza de Amurrio;Danza;16/06/2018;Espanyol;;Amurrio;Espanya
Agustin Jimenez y Maribel Salas: Monologos 10;Teatro;01/07/2018;Euskera;Pilar Abin plaza;Abanto y Ciervana-Abanto Zierbena;Espanya
Alicia despues de Alicia;Teatro;19/05/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Alizia lurralde miresgarrian;Actividad infantil;21/01/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Amurriock 2018;Concurso;19/03/2018;Espanyol;Burubio Kultur Elkartea;Amurrio;Espanya
Amurrioko Euskal Jaia 2018;otros;26/05/2018;Euskera;;Amurrio;Espanya
Arabako Bertso Kuadrillarteko Txapelketa: Ibabeko Bertaren bilobak (Aramaio) vs Bapateroak (Gasteiz) / 2ª semifinal;Bertsolarismo;24/02/2018;Euskera;Gaztetxea;Amurrio;Espanya
Asvinenean topa! 2018 - Primer Encuentro de Artes Escenicas;otros;11/06/2018;Espanyol;Asvinenea (Laboratorio y Promocion de las Artes Escenicas);Aduna;Espanya
Barrock;Danza;17/08/2018;Espanyol;Juan de Urrutia plaza;Amurrio;Espanya
BECtekada bertso-saioa;Bertsolarismo;04/01/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Berriketan;Danza;07/04/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Bertso jaialdia: Maialen Akizu + Aitor Servier + Jone Uria Albizuri + Inyaki Vinyaspre + Asier Rubio;Bertsolarismo;15/08/2018;Euskera;;Amurrio;Espanya
Bertso jaialdia: Unai Agirre Goia + oihana Iguaran + Maialen Lujanbio + Aitor Mendiluze;Bertsolarismo;15/08/2018;Euskera;Adunako plaza;Aduna;Espanya
Bertso-bazkaria: Maddalen Arzallus + Alaia Martin;Bertsolarismo;12/05/2018;Euskera;Baranbioko Garrastatxu ermita;Amurrio;Espanya
Biopiracy;Danza;17/11/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Black is beltza;Proyeccion audiovisual;02/12/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Bultz + The Fridays Crew;Concierto;27/01/2018;Espanyol;Burubio Kultur Elkartea;Amurrio;Espanya
Carnavales de Amurrio 2018;otros;10/02/2018;Espanyol;;Amurrio;Espanya
Concierto Coral con el Coro Zankueta;Concierto;20/05/2018;Espanyol;Ermita de San Anton;Amurrio;Espanya
Cruce de Caminos, exposicion fotografica de la asociacion Bikarte;Exposicion;16/02/2018;Espanyol;Polideportivo Banyueta;Amurrio;Espanya
Cuando estemos mas tranquilas;Teatro;27/10/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Cursos de la Escuela de Circo ASVINENEA (2018-2019);Curso-taller;01/10/2018;Espanyol;;Aduna;Espanya
Desde el sur: Senegal. Una mirada de Manu Brabo;Exposicion;18/09/2018;Espanyol;La Casona;Amurrio;Espanya
Dia Internacional de los Museos 2018, en el Museo de la Mineria del Pais Vasco;otros;18/05/2018;Espanyol;Museo de la Mineria del Pais Vasco;Abanto y Ciervana-Abanto Zierbena;Espanya
Doctor Deseo;Concierto;15/06/2018;Espanyol;Plaza Eusko Gudariak;Abanto y Ciervana-Abanto Zierbena;Espanya
Doctor Deseo;Concierto;13/08/2018;Espanyol;Plaza;Amurrio;Espanya
El cuadro;Teatro;20/10/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
El enfermo imaginario;Teatro;17/03/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
El jardin de Vero + Ronda de poniente;Proyeccion audiovisual;12/01/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
ELE! Lorca-Lauaxeta;Teatro;24/11/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Elkarrekin - Together;Proyeccion audiovisual;16/04/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Eraldaketa: sortzailoN afera! 2018 - Emakumea, sormena eta euskara hizpide;Exposicion;11/12/2018;Espanyol;La Casona;Amurrio;Espanya
Errementari;Proyeccion audiovisual;25/03/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Espectaculo danza solidario;Danza;24/06/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Espectaculo de danza de la mano del Conservatorio Jose Urrunyuela;Danza;15/06/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Euskadiko Ikasleen Jazz orkestra (EIJo);Concierto;29/06/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Exposicion de pintura de Fernando Garai;Exposicion;19/05/2018;Espanyol;La Casona;Amurrio;Espanya
Feria del Libro y Disco de Amurrio 2018;Feria;12/04/2018;Espanyol;;Amurrio;Espanya
Fiestas de Amurrio 2018;otros;12/08/2018;Espanyol;;Amurrio;Espanya
Fiestas de San Antonio 2018 de Gallarta;otros;08/06/2018;Espanyol;;Abanto y Ciervana-Abanto Zierbena;Espanya
Fomic: Exposicion de musica, fotografia y comic de Inyigo Arrizabalaga;Exposicion;25/01/2018;Euskera / Espanyol;La Casona;Amurrio;Espanya
Garilak 26;Concierto;10/03/2018;Espanyol;Burubio Kultur Elkartea;Amurrio;Espanya
Glaukoma;Concierto;14/08/2018;Euskera;Juan Urrutia plaza;Amurrio;Espanya
Glaukoma + Urrats;Concierto;01/06/2018;Espanyol;Las Karreras - Plaza Haritzalde;Abanto y Ciervana-Abanto Zierbena;Espanya
Go!azen 4.0;Actividad infantil;10/06/2018;Euskera;Eusko Gudariak plaza;Abanto y Ciervana-Abanto Zierbena;Espanya
Go!azen 4.0;Teatro;03/02/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Governors + Guda Dantza;Concierto;28/04/2018;Espanyol;Polideportivo;Amurrio;Espanya
Harpetarra;Actividad infantil;25/03/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Hiriko Txirrindulariak Ciclistas Urbanxs, exposicion fotografica de Jose Miguel Llano;Exposicion;17/10/2018;Espanyol;Casona;Amurrio;Espanya
Horman erlojua duen etxea;Actividad infantil;02/12/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Jon Braun;Actividad infantil;18/02/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Joyful Gospel Choir;Concierto;15/12/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Kale gorrian;Teatro;14/08/2018;Euskera;Dioniso Aldana, 1 (Plazatxoa);Amurrio;Espanya
Korrontzi;Concierto;15/08/2018;Euskera;Juan Urrutia plaza;Amurrio;Espanya
Korterraza Araba 2018 (Amurrio);Proyeccion audiovisual;20/07/2018;Espanyol;Zona peatonal Larrinaga;Amurrio;Espanya
Kultur 2018: Coral Erkudengo Ama;Concierto;14/07/2018;Espanyol;Monasterio de Irantzu;Abarzuza;Espanya
La gran aventura de la zarzuela;Teatro;14/04/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
La gran depresion;Teatro;17/11/2018;Espanyol;Biblioteca de Abanto y Ciervana (Gallarta);Abanto y Ciervana-Abanto Zierbena;Espanya
La historia del soldado;Teatro;18/03/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
La maleta que mas pesa;Exposicion;01/05/2018;Espanyol;Banyueta Kiroldegia;Amurrio;Espanya
La vida de un tenor;Concierto;30/11/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Las princesas del Pacifico;Teatro;10/11/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Las siete hijas de Alava;Exposicion;13/02/2018;Espanyol;La Casona;Amurrio;Espanya
Leo Da Vinci: Mona Lisa Misioa;Proyeccion audiovisual;20/05/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Libe + MICE;Concierto;12/01/2018;Euskera;Burubio Kultur Elkartea;Amurrio;Espanya
Los Blues Yeyes;Concierto;11/08/2018;Espanyol;Juan Urrutia plaza;Amurrio;Espanya
Luis eta estralurtarrak;Proyeccion audiovisual;27/10/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Lur-Ikara Kabaret;Teatro;14/06/2018;Espanyol;Plaza Juan Urrutia;Amurrio;Espanya
Manzer + Stonewitch;Concierto;07/06/2018;Euskera;Burubio Kultur Elkartea;Amurrio;Espanya
Mendi Tour Vital (Amurrio);Proyeccion audiovisual;08/03/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Moonshiners + Vertigo Rising + Deus Ez;Concierto;25/05/2018;Espanyol;Burubio Kultur Elkartea;Amurrio;Espanya
Muestra de Teatro Amateur de Amurrio 2018;Festivales (Gazteinformazioa);20/10/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Naufragos;Teatro;16/08/2018;Espanyol;Zona Peatonal de Larrinaga;Amurrio;Espanya
oihaneko kuadrilla;Actividad infantil;25/02/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
oihaneko kuadrilla;Actividad infantil;25/02/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
oslo ovnies + Deimocracy + Hoax Attack;Concierto;08/06/2018;Espanyol;Burubio Kultur Elkartea;Amurrio;Espanya
Paddam: Le Recital de la Chanson;Concierto;06/10/2018;Frances;Amurrio Antzokia;Amurrio;Espanya
Paddington 2;Actividad infantil;14/01/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Patxi eta Konpainia: Dantza Piko;otros;23/03/2018;Euskera;;Amurrio;Espanya
Pausu doinuak, kontzertu dantzatua;Concierto;24/02/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Pirritx, Porrotx eta Marimotots: Musua;Actividad infantil;14/12/2018;Euskera;Polideportivo;Amurrio;Espanya
Presentacion del documental Horma ikusezinak + bersto-saio con Andere Arriolabengoa y Ane Labaka Mayoz;Proyeccion audiovisual;22/11/2018;Euskera;Katekesi aretoa;Amurrio;Espanya
Produccion, No reproduccion. Fondos de obra grafica en la Coleccion Artium;Exposicion;23/03/2018;Espanyol;La Casona;Amurrio;Espanya
Rise To Fall + Dormanth + Teksuo + Deimocracy;Concierto;16/11/2018;Ingles;Burubio Kultur Elkartea;Amurrio;Espanya
Sabin;Concierto;15/08/2018;Espanyol;Juan Urrutia plaza;Amurrio;Espanya
Semana Musical de Amurrio 2018;Festivales (Gazteinformazioa);15/06/2018;Espanyol;;Amurrio;Espanya
Sherezade y las Capas de Cebolla;Teatro;17/02/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Smallfoot;Actividad infantil;25/11/2018;Euskera;Amurrio Antzokia;Amurrio;Espanya
Sobriedades exposicion de ceramica de Santiago Gonzalez;Exposicion;02/05/2018;Espanyol;La Casona;Amurrio;Espanya
Taller de grabado;Curso-taller;20/04/2018;Espanyol;Casa de cultura;Amurrio;Espanya
Taller de serigrafia;Curso-taller;13/04/2018;Espanyol;Casa de cultura;Amurrio;Espanya
Tremenda Jauria;Concierto;08/06/2018;Espanyol;Plaza Eusko Gudariak (Gallarta);Abanto y Ciervana-Abanto Zierbena;Espanya
Un Dios salvaje;Teatro;27/01/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Una habitacion propia. Un libro bailado;Danza;23/04/2018;Espanyol;Biblioteca de Amurrio;Amurrio;Espanya
Volar;Proyeccion audiovisual;13/01/2018;Espanyol;Amurrio Antzokia;Amurrio;Espanya
Willis Drummond + The Mockers;Concierto;16/03/2018;Euskera;Burubio Kultur Elkartea;Amurrio;Espanya
Ze Esatek! + Nomadak;Concierto;20/01/2018;Euskera;Burubio Kultur Elkartea;Amurrio;Espanya
Alerta + Stronger Together + Baserriko ollaxkue Labien;Concierto;05/10/2018;Espanyol;Ziztada gune askea;Amorebieta-Etxano;Espanya
Alicia despues de Alicia;Teatro;16/02/2018;Espanyol;Zornotza Aretoa;Amorebieta-Etxano;Espanya
Arabako Bertso Kuadrillarteko Txapelketa: Aramaixoko sobrak VS Egurra salgai (Lautada);Bertsolarismo;19/01/2018;Euskera;Zabolako soziedadea;Aramaio;Espanya
Arabako Bertso Kuadrillarteko Txapelketa: Ibabeko Bertaren bilobak (Aramaio) VS Alfreedo (Aiaraldea);Bertsolarismo;26/01/2018;Euskera;Marixeka elkartea;Aramaio;Espanya
Arabako Bertso Kuadrillarteko Txapelketa: Sumendi bete poto (Gasteiz) vs Errekaleor Birizik! / 3ª semifinal;Bertsolarismo;03/03/2018;Euskera;Sastinya;Aramaio;Espanya
Aramaioko I. Kopla Txapelketa (eta III);Bertsolarismo;19/10/2018;Euskera;Iturreta Sagardotegia;Aramaio;Espanya
Aramaioko I. Kopla Txapelketa (I);Bertsolarismo;19/10/2018;Euskera;Goiko taberna parean;Aramaio;Espanya
Aramaioko I. Kopla Txapelketa (II);Bertsolarismo;19/10/2018;Euskera;Plaza;Aramaio;Espanya
Artha;Danza;09/11/2018;Espanyol;Zornotza Aretoa;Amorebieta-Etxano;Espanya
Artxipielagoa;Concierto;12/01/2018;Euskera;Zornotza Aretoa;Amorebieta-Etxano;Espanya
Babo Royal;Teatro;17/07/2018;Espanyol;Andra Mari plaza;Amorebieta-Etxano;Espanya
Balaguèra;Concierto;13/05/2018;Espanyol;Iglesia S. Miguel de Bernagoitia;Amorebieta-Etxano;Espanya
Bertso afaria: Sebastian Lizaso + Inyaki Murua;Bertsolarismo;08/09/2018;Euskera;;Aramaio;Espanya
Bertso jaialdia: Amets Arzallus + Benyat Gaztelumendi + oihana Iguaran + Aitor Mendiluze;Bertsolarismo;29/09/2018;Euskera;Atari Soro pilotalekua;Aizarnazabal;Espanya
Bertso jaialdia: Andere Arriolabengoa + Amets Arzallus + Sustrai Colina + Nerea Ibarzabal;Bertsolarismo;29/12/2018;Euskera;Aramaioko Kultur Etxea;Aramaio;Espanya
Bertso jaialdia: Miren Amuriza + Xabat Galletebeitia + Unai Iturriaga + Maialen Lujanbio;Bertsolarismo;14/08/2018;Euskera;Frontoia;Amorebieta-Etxano;Espanya
Bertso saioa: Aramaioko Bertso Eskola + Gernikako Bertso Eskola + Irungo Bertso Eskola;Bertsolarismo;15/09/2018;Euskera;"Ibilaldia, San Kristobaletik; bazkaria, Marixekan";Aramaio;Espanya
Bertso saioa: Arkaitz Estiballes + Jon Maia;Bertsolarismo;26/08/2018;Euskera;Autzagane. Plazatik abiatuta;Amorebieta-Etxano;Espanya
Bertso saioa: Manex Agirre + Txaber Altube + Paula Amilburu + Xabi Igoa;Bertsolarismo;15/06/2018;Euskera;Zabolako Elkartea;Aramaio;Espanya
Bertso sariketa: Martin Abarrategi + Xabier Antia + Benyat Garaio + Mikel Martin;Bertsolarismo;23/11/2018;Euskera;Zabolako Elkartea;Aramaio;Espanya
Bertso-afaria: Andoni Eganya + Iker Zubeldia;Bertsolarismo;16/02/2018;Euskera;Uztarri Jatetxea;Aizarnazabal;Espanya
Bertso-afaria: Sustrai Colina + onintza Enbeita;Bertsolarismo;13/04/2018;Euskera;Uranga Jatetxea;Amorebieta-Etxano;Espanya
Bertso-saioa: Ainhoa Agirreazaldegi + Ane Labaka Mayoz + Alaia Martin;Bertsolarismo;23/11/2018;Euskera;Gaztetxea;Aizarnazabal;Espanya
Bertso-saioa: Aitor Mendiluze + Julio Soto;Bertsolarismo;13/07/2018;Euskera;Aixola auzoa, plaza;Aramaio;Espanya
Bertso-saioa: Aitor Sarriegi + Iker Zubeldia;Bertsolarismo;28/09/2018;Euskera;Etxaguen auzoa;Aramaio;Espanya
Bertso-saioa: Amets Arzallus + Jon Maia;Bertsolarismo;05/10/2018;Euskera;Untzila;Aramaio;Espanya
Bertso-saioa: Maddalen Arzallus + Arkaitz Estiballes + oihana Iguaran + Etxahun Lekue;Bertsolarismo;16/07/2018;Euskera;Udaletxe Plaza;Amorebieta-Etxano;Espanya
Bertso-saioa: Peru Abarrategi + Manex Agirre;Bertsolarismo;27/07/2018;Euskera;;Aramaio;Espanya
Bertso-saioa: Sebastian Lizaso + Inyaki Murua;Bertsolarismo;20/10/2018;Euskera;Kasatso;Aramaio;Espanya
Bertsotruk. Euskal Herriko bertso-eskolen arteko desafioak: Aramaixo Bertso Eskolie vs. Taket Bertso Eskola (Mungia);Bertsolarismo;05/05/2018;Euskera;Marixeka;Aramaio;Espanya
Bizkaiko Bertsolari Txapelketa 2018 (Amorebieta-Etxano);Bertsolarismo;21/10/2018;Euskera;Zornotza Aretoa;Amorebieta-Etxano;Espanya
Bosteko 2018: Poeticas del silencio, esencias en resonancia;Exposicion;06/09/2018;Espanyol;Zelaieta Zentroa;Amorebieta-Etxano;Espanya
Certamen de Pintura Enrike Renteria 2018 de Amorebieta-Etxano;Concurso;08/07/2018;Espanyol;;Amorebieta-Etxano;Espanya
Chef Nature;Actividad infantil;18/07/2018;Espanyol;Herriko plaza;Amorebieta-Etxano;Espanya
Ciclo de cine En femenino: You were never really here + En cuerpo y alma + Recuerdos desde Fukushima;Proyeccion audiovisual;06/03/2018;Espanyol;Zornotza Aretoa;Amorebieta-Etxano;Espanya
Ciclo Musika eta zinea en Aramaio;Proyeccion audiovisual;07/10/2018;Espanyol;Aramaioko Kultur Etxea;Aramaio;Espanya
Circo de pulgas;Teatro;01/12/2018;Espanyol;Zornotza Aretoa;Amorebieta-Etxano;Espanya
Curso Internacional de Musica de Vitoria-Gasteiz 2018: Leire Ruiz Garcia & Cuarteto Piacere;Concierto;26/08/2018;Espanyol;Aramaioko Kultur Etxea;Aramaio;Espanya
Deshakespereazioa;Teatro;23/02/2018;Euskera;Zornotza Aretoa;Amorebieta-Etxano;Espanya
